PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEUI(kBtu/sf),Electricity(kBtu),NaturalGas(kBtu)
Large Office,NORTHEAST,1971,1.0,23,474546,0,474546,Office,,60.0,28450433.0,0.0
Other,NORTHEAST,1969,1.0,5,36000,0,36000,Data Center,,834.4000244,30038487.0,0.0
Small- and Mid-Sized Office,NORTHEAST,1961,0.0,5,99005,0,99005,Office,,59.40000153,2863212.0,1865277.0
Large Office,NORTHEAST,2002,1.0,6,135051,44248,90803,Office,Parking,46.09999847,4426136.0,0.0
Large Office,NORTHEAST,2002,1.0,5,220649,82720,137929,Office,Parking,48.29999924,7046345.0,0.0
Self-Storage Facility,DOWNTOWN,1964,1.0,5,93660,0,93660,Self-Storage Facility,,9.300000191,873222.0,0.0
Large Office,DOWNTOWN,1980,1.0,18,413715,64660,349055,Office,Parking,69.59999847,24224886.0,0.0
Mixed Use Property,DOWNTOWN,2000,1.0,11,381381,195621,185760,Parking,Office,48.40000153,9671822.0,93954.0
Large Office,DOWNTOWN,1988,1.0,20,497513,118744,378769,Office,Parking,73.0,26602310.0,220905.0
Large Office,DOWNTOWN,1979,1.0,24,543876,116721,427155,Office,Parking,59.70000076,25307741.0,0.0
Mixed Use Property,DOWNTOWN,1980,1.0,4,109347,38700,70647,Laboratory,Parking,116.3000031,7484659.0,733496.0
Large Office,DOWNTOWN,1982,1.0,6,396626,124216,272410,Office,Parking,74.30000305,20361156.0,0.0
Large Office,DOWNTOWN,2002,1.0,6,287471,83591,203880,Office,Parking,74.90000153,14913422.0,0.0
Large Office,DOWNTOWN,1947,1.0,3,192630,48512,144118,Office,Parking,36.70000076,5169641.0,188191.0
Large Office,DOWNTOWN,1984,1.0,8,253103,61986,191117,Office,Parking,161.1999969,29949243.0,0.0
Supermarket / Grocery Store,NORTHWEST,1956,1.0,1,60880,0,60880,Supermarket/Grocery Store,,231.8000031,8125218.0,6168753.0
Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,5,50176,0,50176,Office,Other,46.59999847,2836654.0,96634.0
Large Office,DOWNTOWN,1912,1.0,42,304346,0,304346,Office,Retail Store,88.40000153,11239744.0,11008077.0
Warehouse,GREATER DUWAMISH,1977,1.0,1,128800,0,128800,Non-Refrigerated Warehouse,Other,14.0,371850.0,1437252.0
Large Office,DOWNTOWN,1927,1.0,8,321945,0,321945,Office,Performing Arts,60.40000153,9955956.0,0.0
Large Office,DOWNTOWN,1964,1.0,22,336330,0,336330,Office,Parking,71.90000153,13134207.0,462194.0
Large Office,DOWNTOWN,1960,1.0,21,298426,0,298426,Office,Parking,90.69999695,14315950.0,0.0
Large Office,DOWNTOWN,1976,1.0,42,635824,0,635824,Office,Parking,62.90000153,48479982.0,0.0
Hotel,DOWNTOWN,1923,1.0,12,542305,0,542305,Hotel,Swimming Pool,104.1999969,24078107.0,3968211.0
Retail Store,SOUTHEAST,1980,1.0,2,291940,0,291940,Retail Store,Office,40.0,9933861.0,1754739.0
Mixed Use Property,GREATER DUWAMISH,1970,0.0,1,88400,0,88400,Non-Refrigerated Warehouse,Office,48.29999924,2530658.0,1852442.0
Warehouse,NORTHWEST,1960,1.0,1,52311,0,52311,Non-Refrigerated Warehouse,,18.20000076,16765.0,913847.0
Other,LAKE UNION,2009,1.0,5,141131,69710,71421,Parking,Office,43.09999847,3085813.0,0.0
Large Office,LAKE UNION,2001,1.0,5,176532,70067,106465,Office,Parking,56.09999847,5803409.0,0.0
Warehouse,BALLARD,1973,1.0,1,52500,0,52500,Non-Refrigerated Warehouse,Office,72.19999695,3064777.0,924621.0
Warehouse,BALLARD,1959,1.0,2,57300,0,57300,Non-Refrigerated Warehouse,Office,79.59999847,1853914.0,2706578.0
Large Office,DOWNTOWN,1916,1.0,6,350310,0,350310,Office,College/University,53.29999924,15974366.0,2127656.0
Large Office,DOWNTOWN,1988,1.0,55,1400000,285000,1115000,Office,Parking,46.70000076,49472833.0,1426840.0
Hotel,DOWNTOWN,1930,1.0,21,305548,0,305548,Hotel,,108.8000031,14578058.0,2866705.0
Large Office,DOWNTOWN,1989,1.0,46,1536606,512608,1023998,Office,Parking,51.90000153,53668061.0,2938070.0
Large Office,DOWNTOWN,1958,1.0,10,135918,0,135918,Office,,44.40000153,4302353.0,0.0
Retail Store,DOWNTOWN,1914,1.0,4,79957,0,79957,Retail Store,Office,80.30000305,5252130.0,0.0
Large Office,DOWNTOWN,1921,1.0,4,127268,0,127268,Office,Retail Store,63.5,6039805.0,957428.0
Large Office,DOWNTOWN,1983,1.0,29,500000,0,500000,Office,Parking,44.29999924,18848777.0,0.0
Large Office,DOWNTOWN,1926,0.0,10,132326,0,132326,Office,Other,52.70000076,5698221.0,2551.0
Large Office,DOWNTOWN,1984,1.0,6,109830,13200,96630,Office,Parking,87.90000153,7335905.0,0.0
Hotel,DOWNTOWN,1973,0.0,19,332067,59280,272787,Hotel,,113.8000031,19800542.0,2398995.0
Large Office,DOWNTOWN,1910,1.0,10,130513,0,130513,Office,Retail Store,89.30000305,6846996.0,4173175.0
Small- and Mid-Sized Office,DOWNTOWN,1920,1.0,8,60660,0,60660,Office,Retail Store,55.29999924,2586116.0,0.0
Large Office,DOWNTOWN,1929,1.0,14,137350,0,137350,Office,,51.09999847,4107229.0,0.0
Large Office,DOWNTOWN,1929,1.0,15,151039,0,151039,Office,,43.40000153,2596546.0,0.0
Large Office,DOWNTOWN,1985,1.0,30,755000,134662,620338,Office,Parking,78.09999847,43199963.0,8506844.0
Small- and Mid-Sized Office,DOWNTOWN,1906,1.0,4,63540,0,63540,Office,,62.0,2428286.0,1090173.0
Large Office,DOWNTOWN,1927,1.0,10,130893,0,130893,Office,Supermarket/Grocery Store,57.20000076,6962072.0,0.0
Mixed Use Property,DOWNTOWN,1910,1.0,5,79920,0,79920,Office,Retail Store,37.70000076,3009464.0,0.0
Mixed Use Property,DOWNTOWN,1908,1.0,4,137400,0,137400,Retail Store,Other - Restaurant/Bar,122.8000031,10344729.0,4595774.0
Other,DOWNTOWN,1996,1.0,6,147852,86429,61423,Parking,Retail Store,157.5,7122619.0,2548999.0
Other,DOWNTOWN,1996,0.0,4,267335,166960,100375,Parking,Movie Theater,74.69999695,5169902.0,2103253.0
Large Office,DOWNTOWN,1989,1.0,56,1605578,389860,1215718,Office,Parking,36.79999924,46081813.0,2520230.0
Large Office,DOWNTOWN,1980,1.0,36,794592,0,794592,Office,Parking,35.20000076,26031451.0,658204.0
Large Office,DOWNTOWN,1971,1.0,21,456304,93204,363100,Office,Parking,56.59999847,19397322.0,0.0
Large Office,DOWNTOWN,1986,1.0,12,115857,15140,100717,Office,Parking,45.20000076,4757299.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1999,1.0,4,87500,17500,70000,Office,Other,63.40000153,4549891.0,0.0
Large Office,DOWNTOWN,1998,1.0,11,374405,184776,189629,Office,Laboratory,69.09999847,13329022.0,0.0
Other,DOWNTOWN,1985,1.0,12,193500,38000,155500,Other,,98.40000153,14436981.0,0.0
Large Office,DOWNTOWN,1923,1.0,11,102846,0,102846,Office,Retail Store,52.5,1846369.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1925,1.0,4,52800,0,52800,Office,Restaurant,46.90000153,1831932.0,597088.0
Mixed Use Property,DOWNTOWN,1913,3.0,10,258497,0,258497,Parking,Office,77.30000305,16877013.0,0.0
Retail Store,DOWNTOWN,1929,1.0,8,861702,0,861702,Retail Store,Other,19.89999962,14736955.0,1753.0
Other,EAST,1999,1.0,5,206950,97400,109550,Other,,93.19999695,17663475.0,0.0
Other,EAST,1988,1.0,9,46710,0,46710,Urgent Care/Clinic/Other Outpatient,,89.30000305,2722116.0,0.0
Medical Office,EAST,1945,1.0,3,266000,104000,162000,Medical Office,Parking,85.90000153,11902958.0,1532059.0
Medical Office,EAST,1992,1.0,14,690158,407795,282363,Medical Office,Parking,78.19999695,21156669.0,0.0
Mixed Use Property,LAKE UNION,2001,1.0,6,378443,177660,200783,Parking,Office,283.7000122,53506520.0,1566594.0
Mixed Use Property,LAKE UNION,2001,1.0,6,213834,104922,108912,Parking,Data Center,707.2999878,74917352.0,156525.0
Hotel,LAKE UNION,1979,1.0,5,109017,29409,79608,Hotel,,86.90000153,5625395.0,3849350.0
Large Office,MAGNOLIA / QUEEN ANNE,1981,1.0,5,275734,38452,237282,Office,Parking,71.69999695,16373229.0,0.0
Warehouse,GREATER DUWAMISH,2001,1.0,1,123061,0,123061,Non-Refrigerated Warehouse,,16.20000076,1987934.0,0.0
Distribution Center,GREATER DUWAMISH,1963,1.0,1,59090,0,59090,Distribution Center,Office,46.59999847,634386.0,2121829.0
Warehouse,GREATER DUWAMISH,1963,1.0,1,106000,0,106000,Non-Refrigerated Warehouse,,7.199999809,763364.0,0.0
Large Office,LAKE UNION,1962,1.0,3,158600,38400,120200,Office,Parking,125.5999985,15941028.0,2368120.0
Distribution Center,GREATER DUWAMISH,1960,1.0,1,119661,0,119661,Distribution Center,,6.5,774965.0,764.0
Large Office,LAKE UNION,2001,1.0,7,139200,44728,94472,Office,,52.90000153,4342597.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1984,1.0,6,95721,33921,61800,Office,Parking,32.0,3063504.0,0.0
Large Office,MAGNOLIA / QUEEN ANNE,1996,2.0,5,213283,115228,98055,Office,Parking,53.59999847,5661689.0,0.0
Large Office,LAKE UNION,2001,1.0,3,103697,47656,56041,Office,,179.1000061,4904243.0,6415592.0
Small- and Mid-Sized Office,NORTH,1974,1.0,5,74880,0,74880,Office,Parking,71.59999847,5134607.0,0.0
Small- and Mid-Sized Office,NORTH,1979,1.0,6,88774,0,88774,Office,Parking,70.59999847,6029121.0,0.0
Large Office,NORTH,1983,1.0,5,122250,0,122250,Office,Adult Education,43.5,5535625.0,0.0
Small- and Mid-Sized Office,NORTH,1979,1.0,4,53730,0,53730,Office,Parking,88.30000305,4742869.0,0.0
Small- and Mid-Sized Office,DELRIDGE,1960,1.0,3,55593,0,55593,Office,,76.0,2842549.0,1382323.0
Large Office,LAKE UNION,1982,1.0,4,134056,60960,73096,Office,Parking,65.19999695,4695138.0,0.0
Retail Store,GREATER DUWAMISH,2005,1.0,1,158415,0,158415,Retail Store,,141.3999939,15927634.0,6466780.0
Large Office,LAKE UNION,1929,1.0,8,287819,0,287819,Office,Data Center,176.0,48155040.0,251511.0
Other,EAST,1975,1.0,8,158738,0,158738,Urgent Care/Clinic/Other Outpatient,,389.1000061,46528618.0,9571816.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1985,1.0,4,86995,28800,58195,Office,Parking,51.40000153,2991674.0,0.0
Retail Store,BALLARD,1999,1.0,1,164437,0,164437,Retail Store,Supermarket/Grocery Store,104.0,14099499.0,4290843.0
Large Office,LAKE UNION,2009,1.0,5,184482,66234,118248,Office,Parking,47.40000153,5651060.0,20195.0
Laboratory,LAKE UNION,1928,1.0,3,55200,0,55200,Laboratory,Data Center,210.0,7500378.0,4093742.0
Laboratory,LAKE UNION,2003,1.0,4,241159,111793,129366,Laboratory,,191.3999939,20388923.0,13324952.0
Large Office,LAKE UNION,2004,1.0,6,139282,52582,86700,Office,Parking,37.29999924,3238216.0,0.0
Large Office,LAKE UNION,2009,1.0,5,271071,98700,172371,Office,Parking,42.40000153,7695280.0,156054.0
Warehouse,LAKE UNION,1914,1.0,5,127800,0,127800,Non-Refrigerated Warehouse,,21.70000076,2545590.0,221900.0
Large Office,LAKE UNION,2002,1.0,5,560516,206597,353919,Office,Parking,80.80000305,20922584.0,9160910.0
Large Office,LAKE UNION,2001,1.0,6,226592,95000,131592,Office,Parking,90.90000153,11719809.0,243618.0
Other,LAKE UNION,1997,1.0,5,535947,0,535947,Other,Parking,245.1000061,64627449.0,66746425.0
Mixed Use Property,LAKE UNION,2003,1.0,5,159700,50654,109046,Other,Parking,270.3999939,20355803.0,11015812.0
Large Office,LAKE UNION,2006,1.0,4,209816,73673,136143,Office,Parking,51.0,5303806.0,1613672.0
Large Office,LAKE UNION,2006,1.0,6,303103,109905,193198,Office,Parking,40.70000076,7147457.0,372009.0
Mixed Use Property,LAKE UNION,1954,1.0,3,67380,0,67380,Non-Refrigerated Warehouse,Office,42.09999847,1566221.0,1189608.0
Laboratory,LAKE UNION,1963,1.0,4,102235,0,102235,Laboratory,,236.5,15355254.0,9039972.0
Mixed Use Property,LAKE UNION,2008,1.0,5,436497,153684,282813,Laboratory,Parking,171.1999969,29992691.0,15259662.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1974,1.0,5,88062,20826,67236,Office,Parking,52.70000076,3415561.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1972,1.0,5,87178,20416,66762,Office,Parking,54.5,3632614.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1970,1.0,5,87178,20416,66762,Office,Parking,52.29999924,3493093.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1971,1.0,5,88000,21600,66400,Office,Parking,50.0,3484915.0,0.0
Medical Office,NORTHEAST,1988,1.0,4,196749,88405,108344,Medical Office,Parking,176.8999939,11703547.0,7461566.0
Medical Office,NORTHEAST,1994,1.0,4,191276,95281,95995,Medical Office,,87.69999695,8005293.0,417567.0
Self-Storage Facility,BALLARD,1946,2.0,2,111445,0,111445,,,47.79999924,3007514.0,2689958.0
Warehouse,SOUTHWEST,1997,1.0,4,98475,0,98475,Non-Refrigerated Warehouse,,11.10000038,768997.0,321500.0
Hospital,LAKE UNION,2000,1.0,7,351530,150455,201075,Hospital (General Medical & Surgical),,198.1000061,26781892.0,15927728.0
Supermarket / Grocery Store,NORTH,1995,1.0,2,308965,187878,121087,Supermarket/Grocery Store,Parking,119.9000015,10680826.0,3831959.0
Supermarket / Grocery Store,GREATER DUWAMISH,2008,1.0,1,63225,0,63225,Supermarket/Grocery Store,,103.1999969,6522551.0,0.0
Other,DELRIDGE,1955,0.0,1,113780,0,113780,Other - Services,Office,31.39999962,1470885.0,2103657.0
Warehouse,GREATER DUWAMISH,1999,1.0,1,243044,0,243044,Non-Refrigerated Warehouse,,4.300000191,700977.0,695105.0
Other,LAKE UNION,2001,1.0,3,280252,156312,123940,Parking,Office,93.0,11521701.0,0.0
Other,MAGNOLIA / QUEEN ANNE,1952,1.0,3,66462,12998,53464,Other,Parking,95.5,6876438.0,0.0
Retail Store,NORTHWEST,1997,1.0,1,131387,0,131387,Retail Store,,81.30000305,7704514.0,1068542.0
Warehouse,NORTHWEST,1999,1.0,3,94400,0,94400,Non-Refrigerated Warehouse,,11.69999981,680865.0,103500.0
Other,NORTHWEST,1964,6.0,1,111900,0,111900,Strip Mall,Parking,79.0,6390148.0,3424670.0
Supermarket / Grocery Store,NORTHWEST,1984,0.0,1,144776,0,144776,Wholesale Club/Supercenter,,92.69999695,10307295.0,3116783.0
Retail Store,NORTHWEST,1967,1.0,1,114000,0,114000,Retail Store,Supermarket/Grocery Store,150.8999939,7836595.0,9388848.0
Supermarket / Grocery Store,NORTHWEST,1997,1.0,1,50083,0,50083,Supermarket/Grocery Store,Parking,173.0,6528390.0,2135300.0
Large Office,LAKE UNION,1988,1.0,3,124071,28645,95426,Office,,51.70000076,4989211.0,2149.0
Small- and Mid-Sized Office,LAKE UNION,2000,1.0,4,90000,36528,53472,Office,,43.29999924,3897737.0,0.0
Small- and Mid-Sized Office,LAKE UNION,2001,1.0,3,96041,33709,62332,Office,Parking,87.0,5413417.0,0.0
Large Office,LAKE UNION,1999,1.0,3,280957,114829,166128,Office,Parking,68.69999695,10986553.0,336610.0
Large Office,LAKE UNION,1999,1.0,4,243334,103032,140302,Office,Parking,62.20000076,8116657.0,535178.0
Mixed Use Property,DOWNTOWN,1991,1.0,6,154660,0,154660,Other - Entertainment/Public Assembly,Other - Recreation,209.3000031,34936812.0,475560.0
Large Office,GREATER DUWAMISH,1982,1.0,5,390295,121375,268920,Office,Parking,31.60000038,7683884.0,0.0
Warehouse,GREATER DUWAMISH,1967,1.0,2,90000,0,90000,Non-Refrigerated Warehouse,Office,15.89999962,1272922.0,156224.0
Retail Store,GREATER DUWAMISH,1966,1.0,1,50200,0,50200,Retail Store,,20.89999962,507461.0,540000.0
Small- and Mid-Sized Office,BALLARD,1925,1.0,6,94033,6200,87833,Office,Retail Store,56.59999847,2871051.0,1887147.0
Warehouse,BALLARD,1941,1.0,2,63240,0,63240,Non-Refrigerated Warehouse,,3.599999905,85409.0,142158.0
Other,BALLARD,2008,1.0,5,322869,182454,140415,Parking,Retail Store,130.6999969,10708106.0,6377238.0
Self-Storage Facility,MAGNOLIA / QUEEN ANNE,1988,1.0,4,130293,23400,106893,Self-Storage Facility,Parking,3.599999905,465533.0,0.0
Warehouse,MAGNOLIA / QUEEN ANNE,1997,1.0,4,106041,0,106041,Non-Refrigerated Warehouse,,10.60000038,739343.0,384600.0
Self-Storage Facility,MAGNOLIA / QUEEN ANNE,1956,1.0,3,94470,0,94470,Self-Storage Facility,,10.60000038,432859.0,567938.0
Large Office,DOWNTOWN,2002,1.0,10,181694,38186,143508,Office,Parking,49.90000153,7637985.0,0.0
Retail Store,NORTHEAST,1987,1.0,2,69492,0,69492,Retail Store,Other,4.599999905,318963.0,0.0
Warehouse,GREATER DUWAMISH,1966,1.0,1,22780,0,22780,Non-Refrigerated Warehouse,,17.60000038,402051.0,0.0
Distribution Center,GREATER DUWAMISH,1967,1.0,1,124472,0,124472,Distribution Center,Parking,43.90000153,1145957.0,4318805.0
Large Office,DOWNTOWN,1970,1.0,22,227556,98556,129000,Office,Parking,37.29999924,8493419.0,0.0
Distribution Center,GREATER DUWAMISH,1967,1.0,1,50065,0,50065,Distribution Center,Parking,30.60000038,836261.0,693249.0
Distribution Center,GREATER DUWAMISH,1969,1.0,1,57540,0,57540,Distribution Center,,44.90000153,1310981.0,1271706.0
Warehouse,GREATER DUWAMISH,1966,1.0,1,85400,0,85400,Non-Refrigerated Warehouse,,18.0,1536998.0,0.0
Warehouse,GREATER DUWAMISH,1966,1.0,1,55700,0,55700,Non-Refrigerated Warehouse,,9.300000191,519806.0,0.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1964,1.0,1,53250,0,53250,Office,Parking,34.0,1048173.0,746014.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1987,1.0,6,78672,28427,50245,Office,,27.70000076,1888502.0,291217.0
Warehouse,NORTHWEST,1986,1.0,3,64660,0,64660,Non-Refrigerated Warehouse,,5.0,237813.0,87700.0
Mixed Use Property,EAST,1927,1.0,2,75844,19928,55916,Other,Office,64.80000305,3406851.0,277337.0
Distribution Center,GREATER DUWAMISH,1968,1.0,1,161678,0,161678,Distribution Center,,57.59999847,6332002.0,3025227.0
Distribution Center,GREATER DUWAMISH,1949,1.0,1,101101,0,101101,Distribution Center,,215.6000061,21779250.0,16577.0
Distribution Center,GREATER DUWAMISH,1980,1.0,1,52613,0,52613,Distribution Center,,17.79999924,527872.0,533586.0
Other,GREATER DUWAMISH,1940,1.0,1,56608,0,56608,Other,Office,89.59999847,4253264.0,840932.0
Refrigerated Warehouse,GREATER DUWAMISH,1953,1.0,1,104099,0,104099,Refrigerated Warehouse,Office,170.0,17283711.0,411705.0
Supermarket / Grocery Store,NORTHWEST,2003,1.0,1,58184,7450,50734,Supermarket/Grocery Store,Parking,284.5,7956442.0,6758820.0
Supermarket / Grocery Store,NORTH,1980,1.0,1,58480,0,58480,Supermarket/Grocery Store,,248.8000031,6817771.0,4236763.0
Large Office,LAKE UNION,2005,1.0,6,336700,124800,211900,Office,Parking,41.59999847,7877393.0,0.0
Retail Store,LAKE UNION,1996,1.0,4,264008,159994,104014,Retail Store,,100.5,7307906.0,2629800.0
Small- and Mid-Sized Office,CENTRAL,1914,1.0,2,62220,0,62220,Office,Parking,87.80000305,5431426.0,12827.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1970,1.0,1,65430,0,65430,Office,Other,46.20000076,1705793.0,1475252.0
Large Office,NORTHEAST,2006,1.0,3,102290,42440,59850,Office,Parking,72.40000153,5913177.0,149593.0
Other,CENTRAL,1926,1.0,3,80004,0,80004,Other,,163.3999939,12232122.0,0.0
Warehouse,GREATER DUWAMISH,1991,1.0,2,323916,0,323916,Non-Refrigerated Warehouse,Office,24.79999924,3548085.0,4475979.0
Mixed Use Property,GREATER DUWAMISH,1932,1.0,14,304052,0,304052,Office,Parking,69.40000153,18843504.0,2183891.0
Small- and Mid-Sized Office,LAKE UNION,1978,1.0,4,85385,31210,54175,Office,Parking,91.40000153,4855036.0,0.0
Distribution Center,GREATER DUWAMISH,1989,1.0,2,98024,0,98024,Distribution Center,Office,20.39999962,1373037.0,615298.0
Mixed Use Property,LAKE UNION,1928,1.0,1,65000,15000,50000,Office,Parking,86.80000305,1612547.0,991384.0
Large Office,LAKE UNION,1990,1.0,5,144573,66620,77953,Office,Parking,65.40000153,5135039.0,0.0
Retail Store,NORTH,1950,1.0,2,302812,0,302812,Retail Store,,24.10000038,5590290.0,1700534.0
Small- and Mid-Sized Office,NORTHWEST,1974,1.0,5,86400,0,86400,Office,,116.0999985,4089680.0,4990341.0
Other,North,1969,0.0,2,98539,0,98539,Strip Mall,,55.29999924,5266334.0,184107.0
Small- and Mid-Sized Office,NORTHWEST,1981,1.0,6,86483,0,86483,Office,Parking,73.59999847,6361236.0,0.0
Distribution Center,DELRIDGE,1976,1.0,1,51600,0,51600,Distribution Center,Office,21.79999924,815508.0,309035.0
Warehouse,DELRIDGE,1968,1.0,1,140520,0,140520,Non-Refrigerated Warehouse,,15.80000019,1310524.0,914988.0
Large Office,MAGNOLIA / QUEEN ANNE,1986,1.0,5,154029,62380,91649,Office,Parking,50.59999847,4060681.0,575715.0
Other,NORTHWEST,2005,1.0,3,161789,91935,69854,Parking,Medical Office,99.69999695,6947606.0,16010.0
Medical Office,NORTHWEST,2005,1.0,3,63909,0,63909,Medical Office,Retail Store,74.59999847,4765753.0,0.0
Warehouse,NORTHWEST,1948,1.0,2,53472,0,53472,Non-Refrigerated Warehouse,Office,17.10000038,381025.0,590131.0
Warehouse,GREATER DUWAMISH,1980,1.0,1,50417,0,50417,Non-Refrigerated Warehouse,,36.59999847,855017.0,992384.0
Restaurant,DOWNTOWN,1900,1.0,1,43728,0,43728,Restaurant,,263.2000122,0.0,11508035.0
Medical Office,NORTHWEST,1961,1.0,3,133298,0,133298,Medical Office,,117.3000031,11600182.0,4040810.0
Retail Store,NORTH,1965,1.0,2,168619,0,168619,Retail Store,,37.29999924,5456882.0,998946.0
Mixed Use Property,LAKE UNION,2002,0.0,5,251827,113318,138509,Parking,Laboratory,280.3999939,29154854.0,17947572.0
Large Office,LAKE UNION,2000,1.0,4,175885,71385,104500,Office,Parking,62.40000153,6486377.0,0.0
Warehouse,GREATER DUWAMISH,1969,1.0,2,104786,0,104786,Non-Refrigerated Warehouse,,9.800000191,666718.0,361659.0
Other,GREATER DUWAMISH,2000,1.0,1,53040,41600,11440,Other,,34.40000153,955967.0,814060.0
Other,GREATER DUWAMISH,1973,0.0,1,110689,0,110689,Other,,21.10000038,356328.0,1983486.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1948,1.0,1,53620,0,53620,Office,,38.40000153,1890584.0,168371.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1938,1.0,1,50008,0,50008,Office,,64.0,2270837.0,931375.0
Large Office,MAGNOLIA / QUEEN ANNE,2009,1.0,4,291176,100176,191000,Office,Parking,34.20000076,6585119.0,72228.0
Warehouse,GREATER DUWAMISH,1957,1.0,1,50832,0,50832,Non-Refrigerated Warehouse,Office,50.20000076,613991.0,1937032.0
Refrigerated Warehouse,GREATER DUWAMISH,1971,1.0,1,76354,0,76354,Refrigerated Warehouse,,37.20000076,2832924.0,10109.0
Warehouse,GREATER DUWAMISH,1956,1.0,1,98480,0,98480,Non-Refrigerated Warehouse,,28.79999924,2403347.0,428218.0
Mixed Use Property,LAKE UNION,1904,1.0,2,53002,0,53002,Retail Store,Parking,64.40000153,2574531.0,867112.0
Mixed Use Property,LAKE UNION,2008,1.0,3,175918,51218,124700,Office,Parking,232.3000031,12047762.0,10482405.0
Other,LAKE UNION,1920,1.0,3,169785,63782,106003,Other,Parking,180.6999969,13249663.0,5905752.0
Large Office,LAKE UNION,1971,1.0,11,124721,0,124721,Office,Restaurant,111.4000015,8069980.0,5828201.0
Small- and Mid-Sized Office,LAKE UNION,1970,1.0,7,94002,0,94002,Office,Parking,60.29999924,5662234.0,0.0
Warehouse,GREATER DUWAMISH,1974,1.0,1,93020,0,93020,Non-Refrigerated Warehouse,,13.5,1252324.0,0.0
Other,DOWNTOWN,1946,1.0,1,23000,0,23000,Other,Office,30.89999962,260639.0,450480.0
Supermarket / Grocery Store,SOUTHEAST,2002,1.0,1,61053,0,61053,Supermarket/Grocery Store,Parking,241.3000031,8474644.0,4658580.0
Large Office,DOWNTOWN,1913,5.0,7,154159,0,154159,Office,,58.0,1608768.0,343050.0
Small- and Mid-Sized Office,DOWNTOWN,1904,1.0,5,78920,0,78920,Office,,36.0,2830674.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1906,1.0,7,99440,0,99440,Office,Retail Store,74.30000305,4685851.0,1920981.0
Small- and Mid-Sized Office,DOWNTOWN,1907,1.0,6,73260,0,73260,Office,,44.70000076,2853189.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,4,69817,0,69817,Office,Retail Store,35.90000153,1245123.0,161866.0
Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,4,84750,0,84750,Office,Enclosed Mall,29.79999924,1846842.0,247883.0
Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,6,75496,13320,62176,Office,Retail Store,59.29999924,3570162.0,0.0
Large Office,DOWNTOWN,1900,1.0,4,164380,0,164380,Office,Retail Store,53.0,6196714.0,1059498.0
Large Office,DOWNTOWN,1907,1.0,7,160580,0,160580,Office,,27.0,3014081.0,974898.0
Small- and Mid-Sized Office,DOWNTOWN,1909,1.0,6,73470,0,73470,Office,Non-Refrigerated Warehouse,48.59999847,3212269.0,0.0
Other,DOWNTOWN,1906,1.0,3,67755,0,67755,Other,Office,29.10000038,1904480.0,0.0
Mixed Use Property,GREATER DUWAMISH,1910,1.0,3,56700,0,56700,Office,Distribution Center,41.79999924,2045416.0,326159.0
Warehouse,GREATER DUWAMISH,1922,1.0,1,82852,0,82852,Non-Refrigerated Warehouse,Retail Store,26.29999924,1058065.0,1095539.0
Other,GREATER DUWAMISH,1953,1.0,2,76442,0,76442,Other,Distribution Center,52.29999924,1705403.0,2272874.0
Distribution Center,GREATER DUWAMISH,1962,1.0,2,92792,0,92792,Distribution Center,Office,31.89999962,2024573.0,1130923.0
Other,GREATER DUWAMISH,1941,2.0,2,125519,0,125519,Manufacturing/Industrial Plant,,15.69999981,2244317.0,0.0
Large Office,GREATER DUWAMISH,1900,1.0,4,129000,25800,103200,Office,,41.70000076,4374645.0,0.0
Warehouse,GREATER DUWAMISH,1954,1.0,1,78814,0,78814,Non-Refrigerated Warehouse,,10.89999962,635127.0,226846.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1904,1.0,4,58970,0,58970,Office,Non-Refrigerated Warehouse,30.39999962,1152375.0,624037.0
Distribution Center,GREATER DUWAMISH,1910,1.0,6,75600,10800,64800,Distribution Center,Office,43.70000076,2688675.0,0.0
Distribution Center,GREATER DUWAMISH,1907,1.0,4,56270,0,56270,Distribution Center,Non-Refrigerated Warehouse,18.79999924,1056782.0,0.0
